categoria,marca,modelo_2025,modelo_2026,valor_2025,valor_2024,valor_2023
A3,SUBARU,LEGACY GL SW AUT.,LEGACY GL SW AUT.,"83,460","75,110","66,770"
A3,SUBARU,LEGACY GL SW AWD AUT.,LEGACY GL SW AWD AUT.,"101,170","91,050","80,940"
A3,SUBARU,LEGACY GL SW AWD MEC.,LEGACY GL SW AWD MEC.,"99,840","89,860","79,870"
A3,SUBARU,LEGACY GL SW MEC.,LEGACY GL SW MEC.,"78,550","70,700","62,840"
A3,SUBARU,LEGACY LX 2.0 C.C.,LEGACY LX 2.0 C.C.,"65,450","58,910","52,360"
A3,SUBARU,LEGACY LX SW,LEGACY LX SW,"73,970","66,570","59,180"
A3,SUBARU,LEGACY LX SW AWD 2.0 C.C.,LEGACY LX SW AWD 2.0 C.C.,"68,720","61,850","54,980"
A3,SUBARU,LEGACY SW 4WD AUT.,LEGACY SW 4WD AUT.,"93,290","83,960","74,630"
A3,SUBARU,LEGACY SW AUT.,LEGACY SW AUT.,"92,980","83,680","74,380"
A3,SUBARU,LEGACY SW AWD MEC.,LEGACY SW AWD MEC.,"93,290","83,960","74,630"
A3,SUBARU,LEGACY TW 2.0I XA AWD AUT.,LEGACY TW 2.0I XA AWD AUT.,"101,170","91,050","80,940"
A3,SUBARU,LEGACY TW 2.0I XX AWD AUT.,LEGACY TW 2.0I XX AWD AUT.,"104,460","94,010","83,570"
A3,SUBARU,LEGACY TW 2.0R AWD AUT.,LEGACY TW 2.0R AWD AUT.,"99,870","89,880","79,900"
A3,SUBARU,LEGACY TW AWD 2.0 AUT.,LEGACY TW AWD 2.0 AUT.,"96,590","86,930","77,270"
A3,SUBARU,WRX 2.0 AWD 6 MT,WRX 2.0 AWD 6 MT,"104,270","93,840","83,420"
A3,SUBARU,WRX AWD 2.0 CVT,WRX AWD 2.0 CVT,"96,590","86,930","77,270"
A3,SUBARU,WRX AWD 2.0 MT,WRX AWD 2.0 MT,"87,430","78,690","69,940"
A3,SUBARU,OTROS MODELOS,OTROS MODELOS,"81,530","73,380","65,220"
A3,SUZUKI,AERIO,AERIO,"48,800","43,920","39,040"
A3,SUZUKI,AERIO AUT.,AERIO AUT.,"49,730","44,760","39,780"
A3,SUZUKI,AERIO GLS SPORT 1.6,AERIO GLS SPORT 1.6,"51,370","46,230","41,100"
A3,SUZUKI,AERIO GLX 1.6 AB AC,AERIO GLX 1.6 AB AC,"49,080","44,170","39,260"
A3,SUZUKI,AERIO GLX 1.6 AUT.,AERIO GLX 1.6 AUT.,"42,540","38,290","34,030"
A3,SUZUKI,AERIO GLX 1.6 AUT. AB AC,AERIO GLX 1.6 AUT. AB AC,"52,370","47,130","41,900"
A3,SUZUKI,AERIO GLX 1.6 AUT. AC,AERIO GLX 1.6 AUT. AC,"50,730","45,660","40,580"
A3,SUZUKI,AERIO GLX 1.6 MEC.,AERIO GLX 1.6 MEC.,"39,250","35,330","31,400"
A3,SUZUKI,AERIO GLX AT AC,AERIO GLX AT AC,"50,730","45,660","40,580"
A3,SUZUKI,AERIO GLX SW 1.6 AUT.,AERIO GLX SW 1.6 AUT.,"47,450","42,710","37,960"
A3,SUZUKI,AERIO GLX SW 1.6 MEC.,AERIO GLX SW 1.6 MEC.,"44,180","39,760","35,340"
A3,SUZUKI,AERIO MEC.,AERIO MEC.,"44,180","39,760","35,340"
A3,SUZUKI,AERIO SEDAN AUT. FULL,AERIO SEDAN AUT. FULL,"54,630","49,170","43,700"
A3,SUZUKI,AERIO SEDAN FULL,AERIO SEDAN FULL,"52,370","47,130","41,900"
A3,SUZUKI,AERIO SX 1.6,AERIO SX 1.6,"45,810","41,230","36,650"
A3,SUZUKI,AERIO SX 1.6 AUT.,AERIO SX 1.6 AUT.,"49,080","44,170","39,260"
A3,SUZUKI,AERIO SX GLX AB AC,AERIO SX GLX AB AC,"50,730","45,660","40,580"
A3,SUZUKI,AERIO SX GLX AC,AERIO SX GLX AC,"49,080","44,170","39,260"
A3,SUZUKI,AERIO SX GLX AUT.,AERIO SX GLX AUT.,"49,080","44,170","39,260"
A3,SUZUKI,AERIO SX GLX AUT. AB AC,AERIO SX GLX AUT. AB AC,"54,000","48,600","43,200"
A3,SUZUKI,AERIO SX GLX AUT. AC,AERIO SX GLX AUT. AC,"52,370","47,130","41,900"
A3,SUZUKI,AERIO SX MEC.,AERIO SX MEC.,"42,540","38,290","34,030"
A3,SUZUKI,BALENO AUT.,BALENO AUT.,"44,180","39,760","35,340"
A3,SUZUKI,BALENO MEC.,BALENO MEC.,"39,250","35,330","31,400"
A3,SUZUKI,BALENO SPORT AUT.,BALENO SPORT AUT.,"60,540","54,490","48,430"
A3,SUZUKI,BALENO SPORT MEC.,BALENO SPORT MEC.,"57,270","51,540","45,820"
A3,SUZUKI,BALENO SPORT SW AUT.,BALENO SPORT SW AUT.,"70,360","63,320","56,290"
A3,SUZUKI,BALENO SPORT SW MEC.,BALENO SPORT SW MEC.,"67,080","60,370","53,660"
A3,SUZUKI,BALENO SW AUT.,BALENO SW AUT.,"47,450","42,710","37,960"
A3,SUZUKI,BALENO SW MEC.,BALENO SW MEC.,"44,180","39,760","35,340"
A3,SUZUKI,SWIFT SEDAN,SWIFT SEDAN,"40,300","36,270","32,240"
A3,SUZUKI,SWIFT SEDAN AUT.,SWIFT SEDAN AUT.,"66,140","59,530","52,910"
A3,SUZUKI,SWIFT SPORT 1.6 CVT,SWIFT SPORT 1.6 CVT,"63,800","57,420","51,040"
A3,SUZUKI,SWIFT SPORT 1.6 MT,SWIFT SPORT 1.6 MT,"60,540","54,490","48,430"
A3,SUZUKI,SWIFT SPORT MT,SWIFT SPORT MT,"81,820","73,640","65,460"
A3,SUZUKI,SX 4 CROSSOVER 1.6 MT,SX 4 CROSSOVER 1.6 MT,"58,900","53,010","47,120"
A3,SUZUKI,SX 4 URBANO 1.6 MT,SX 4 URBANO 1.6 MT,"54,000","48,600","43,200"
A3,SUZUKI,SX4,SX4,"55,630","50,070","44,500"
A3,SUZUKI,SX4 CROSSOVER 2WD 1.6 AT,SX4 CROSSOVER 2WD 1.6 AT,"52,370","47,130","41,900"
A3,SUZUKI,SX4 CROSSOVER 2WD 1.6 MT,SX4 CROSSOVER 2WD 1.6 MT,"49,080","44,170","39,260"
A3,SUZUKI,SX4 CROSSOVER HB 1.6 AUT.,SX4 CROSSOVER HB 1.6 AUT.,"55,630","50,070","44,500"
A3,SUZUKI,SX4 CROSSOVER HB 1.6 AUT. A/C,SX4 CROSSOVER HB 1.6 AUT. A/C,"57,600","51,840","46,080"
A3,SUZUKI,SX4 CROSSOVER HB 1.6 MEC.,SX4 CROSSOVER HB 1.6 MEC.,"54,320","48,890","43,460"
A3,SUZUKI,SX4 CROSSOVER HB 1.6 MEC. A/C,SX4 CROSSOVER HB 1.6 MEC. A/C,"55,630","50,070","44,500"
A3,SUZUKI,SX4 GLX CROSS OVER 2WD 1.6 AUT.,SX4 GLX CROSS OVER 2WD 1.6 AUT.,"65,450","58,910","52,360"
A3,SUZUKI,SX4 GLX CROSS OVER 2WD 1.6 MEC.,SX4 GLX CROSS OVER 2WD 1.6 MEC.,"62,170","55,950","49,740"
A3,SUZUKI,SX4 GLX CROSSOVER AWD 1.6 AUT.,SX4 GLX CROSSOVER AWD 1.6 AUT.,"55,630","50,070","44,500"
A3,SUZUKI,SX4 GLX CROSSOVER AWD 1.6 MEC.,SX4 GLX CROSSOVER AWD 1.6 MEC.,"52,370","47,130","41,900"
A3,SUZUKI,SX4 GLX SEDAN 1.6 AUT.,SX4 GLX SEDAN 1.6 AUT.,"50,730","45,660","40,580"
A3,SUZUKI,SX4 GLX SEDAN 1.6 MEC.,SX4 GLX SEDAN 1.6 MEC.,"47,450","42,710","37,960"
A3,SUZUKI,SX4 GLX URBANO 1.6 MEC.,SX4 GLX URBANO 1.6 MEC.,"52,370","47,130","41,900"
A3,SUZUKI,SX4 HB AWD 1.6 AUT.,SX4 HB AWD 1.6 AUT.,"65,450","58,910","52,360"
A3,SUZUKI,SX4 HB AWD 1.6 MEC.,SX4 HB AWD 1.6 MEC.,"62,170","55,950","49,740"
A3,SUZUKI,SX4 SEDAN 1.6 AUT.,SX4 SEDAN 1.6 AUT.,"55,630","50,070","44,500"
A3,SUZUKI,SX4 SEDAN 1.6 AUT. A/C,SX4 SEDAN 1.6 AUT. A/C,"51,700","46,530","41,360"
A3,SUZUKI,SX4 SEDAN 1.6 MEC.,SX4 SEDAN 1.6 MEC.,"52,370","47,130","41,900"
A3,SUZUKI,SX4 SEDAN 1.6 MEC. A/C,SX4 SEDAN 1.6 MEC. A/C,"54,320","48,890","43,460"
A3,SUZUKI,SX4 SEDAN 2.0 AUT.,SX4 SEDAN 2.0 AUT.,"55,630","50,070","44,500"
A3,SUZUKI,SX4 SEDAN 2.0 MEC.,SX4 SEDAN 2.0 MEC.,"52,370","47,130","41,900"
A3,SUZUKI,SX4 SEDAN MT,SX4 SEDAN MT,"52,370","47,130","41,900"
A3,SUZUKI,SX4 STATION 1.6 AUT.,SX4 STATION 1.6 AUT.,"58,900","53,010","47,120"
A3,SUZUKI,SX4 STATION 1.6 MEC.,SX4 STATION 1.6 MEC.,"54,000","48,600","43,200"
A3,SUZUKI,SX4 URBANO HB 1.6 AUT.,SX4 URBANO HB 1.6 AUT.,"47,450","42,710","37,960"
A3,SUZUKI,SX4 URBANO HB 1.6 AUT. A/C,SX4 URBANO HB 1.6 AUT. A/C,"57,270","51,540","45,820"
A3,SUZUKI,SX4 URBANO HB 1.6 MEC. A/C,SX4 URBANO HB 1.6 MEC. A/C,"54,000","48,600","43,200"
A3,SUZUKI,SX4 URBANO HB 1.6 MT,SX4 URBANO HB 1.6 MT,"52,370","47,130","41,900"
A3,SUZUKI,OTROS MODELOS,OTROS MODELOS,"52,370","47,130","41,900"
A3,TOYOTA,86 GT MT,86 GT MT,"83,490","75,140","66,790"
A3,TOYOTA,86 GT-S AT,86 GT-S AT,"141,060","126,950","112,850"
A3,TOYOTA,86 GT-S MT,86 GT-S MT,"134,170","120,750","107,340"
A3,TOYOTA,AURIS 1.6 AUT.,AURIS 1.6 AUT.,"75,600","68,040","60,480"
A3,TOYOTA,AURIS 1.6 CVT,AURIS 1.6 CVT,"54,320","48,890","43,460"
A3,TOYOTA,AURIS 1.6 MEC.,AURIS 1.6 MEC.,"54,980","49,480","43,980"
A3,TOYOTA,AVENSIS 2.0 AUT.,AVENSIS 2.0 AUT.,"110,310","99,280","88,250"
A3,TOYOTA,AVENSIS 2.0 MEC.,AVENSIS 2.0 MEC.,"90,010","81,010","72,010"
A3,TOYOTA,AVENSIS LX 2.0 AUT,AVENSIS LX 2.0 AUT,"101,470","91,320","81,180"
A3,TOYOTA,CALDINA,CALDINA,"44,860","40,370","35,890"
A3,TOYOTA,CELICA ST 2.0 MEC.,CELICA ST 2.0 MEC.,"120,100","108,090","96,080"
A3,TOYOTA,CELICA SW 1.6 C.C.,CELICA SW 1.6 C.C.,"92,510","83,260","74,010"
A3,TOYOTA,CELICA SW 2.0 C.C.,CELICA SW 2.0 C.C.,"105,600","95,040","84,480"
A3,TOYOTA,C-HR 1.8 FULL D-LUX,C-HR 1.8 FULL D-LUX,"109,660","98,690","87,730"
A3,TOYOTA,C-HR 1.8 PREMIUM,C-HR 1.8 PREMIUM,"112,930","101,640","90,340"
A3,TOYOTA,COROLLA,COROLLA,"56,310","50,680","45,050"
A3,TOYOTA,COROLLA 1.6 AT S XLI,COROLLA 1.6 AT S XLI,"64,610","58,150","51,690"
A3,TOYOTA,COROLLA 1.6 CVT XLI,COROLLA 1.6 CVT XLI,"61,220","55,100","48,980"
A3,TOYOTA,COROLLA 1.6 CVT XLI GLP,COROLLA 1.6 CVT XLI GLP,"85,990","77,390","68,790"
A3,TOYOTA,COROLLA 1.6 MT XLI GLP,COROLLA 1.6 MT XLI GLP,"53,350","48,020","42,680"
A3,TOYOTA,COROLLA 1.8 CVT FULL,COROLLA 1.8 CVT FULL,"74,610","67,150","59,690"
A3,TOYOTA,COROLLA 1.8 CVT SEG,COROLLA 1.8 CVT SEG,"72,420","65,180","57,940"
A3,TOYOTA,COROLLA 1.8 CVT SEMIFULL,COROLLA 1.8 CVT SEMIFULL,"71,250","64,130","57,000"
A3,TOYOTA,COROLLA 1.8 MT FULL,COROLLA 1.8 MT FULL,"71,360","64,220","57,090"
A3,TOYOTA,COROLLA 1.8 MT SEMIFULL,COROLLA 1.8 MT SEMIFULL,"67,970","61,170","54,380"
A3,TOYOTA,COROLLA 2.0 FULL CVT,COROLLA 2.0 FULL CVT,"83,050","74,750","66,440"
A3,TOYOTA,COROLLA 2.0 GR SPORT,COROLLA 2.0 GR SPORT,"76,030","68,430","60,820"
A3,TOYOTA,COROLLA 2.0 MT XEI,COROLLA 2.0 MT XEI,"57,880","52,090","46,300"
A3,TOYOTA,COROLLA 2.0 MT XLI,COROLLA 2.0 MT XLI,"74,710","67,240","59,770"
A3,TOYOTA,COROLLA 2.0 XEI CVT,COROLLA 2.0 XEI CVT,"71,250","64,130","57,000"
A3,TOYOTA,,COROLLA 2.0 XLI CVT 4X2,"97,640","87,880","78,110"
A3,TOYOTA,COROLLA FULL + CLIMATIZADOR 1.8 CVT,COROLLA FULL + CLIMATIZADOR 1.8 CVT,"75,150","67,640","60,120"
A3,TOYOTA,COROLLA FULL + CLIMATIZADOR 1.8 M/T,COROLLA FULL + CLIMATIZADOR 1.8 M/T,"71,880","64,690","57,500"
A3,TOYOTA,COROLLA G6,COROLLA G6,"74,560","67,100","59,650"
A3,TOYOTA,COROLLA GL AUT.,COROLLA GL AUT.,"79,890","71,900","63,910"
A3,TOYOTA,COROLLA GL MEC.,COROLLA GL MEC.,"76,290","68,660","61,030"
A3,TOYOTA,COROLLA GLI 1.6 AT,COROLLA GLI 1.6 AT,"60,180","54,160","48,140"
A3,TOYOTA,COROLLA GLI 1.6 AT ADV,COROLLA GLI 1.6 AT ADV,"69,510","62,560","55,610"
A3,TOYOTA,COROLLA GLI 1.6 AT NEW ADV,COROLLA GLI 1.6 AT NEW ADV,"70,990","63,890","56,790"
A3,TOYOTA,COROLLA GLI 1.6 MT,COROLLA GLI 1.6 MT,"56,340","50,710","45,070"
A3,TOYOTA,COROLLA GLI 1.6 MT ADV,COROLLA GLI 1.6 MT ADV,"66,010","59,410","52,810"
A3,TOYOTA,COROLLA GLI 1.6 MT NEW ADV,COROLLA GLI 1.6 MT NEW ADV,"67,420","60,680","53,940"
A3,TOYOTA,COROLLA GLI 1.8 AUT.,COROLLA GLI 1.8 AUT.,"79,890","71,900","63,910"
A3,TOYOTA,COROLLA GLI 1.8 MEC.,COROLLA GLI 1.8 MEC.,"73,110","65,800","58,490"
A3,TOYOTA,COROLLA GLI AUT.,COROLLA GLI AUT.,"65,020","58,520","52,020"
A3,TOYOTA,COROLLA GLI ESPECIAL 1.6 AUT.,COROLLA GLI ESPECIAL 1.6 AUT.,"71,640","64,480","57,310"
A3,TOYOTA,COROLLA GLI ESPECIAL 1.6 MEC.,COROLLA GLI ESPECIAL 1.6 MEC.,"67,640","60,880","54,110"
A3,TOYOTA,COROLLA GLI MEC.,COROLLA GLI MEC.,"61,050","54,950","48,840"
A3,TOYOTA,COROLLA GXI 1.6 AUT.,COROLLA GXI 1.6 AUT.,"71,640","64,480","57,310"
A3,TOYOTA,COROLLA GXI 1.6 MEC.,COROLLA GXI 1.6 MEC.,"67,640","60,880","54,110"
A3,TOYOTA,COROLLA HATCHBACK HV 1.8,COROLLA HATCHBACK HV 1.8,"90,040","81,040","72,030"
A3,TOYOTA,COROLLA HB HV 1.8 CVT,COROLLA HB HV 1.8 CVT,"91,640","82,480","73,310"
A3,TOYOTA,COROLLA HB HYBRID,COROLLA HB HYBRID,"69,700","62,730","55,760"
A3,TOYOTA,COROLLA HB HYBRID 1.8 MID,COROLLA HB HYBRID 1.8 MID,"74,030","66,630","59,220"
A3,TOYOTA,COROLLA HV 1.8 XEI CVT,COROLLA HV 1.8 XEI CVT,"87,090","78,380","69,670"
A3,TOYOTA,,COROLLA HV 1.8 XEI CVT 4X2,"111,140","100,030","88,910"
A3,TOYOTA,COROLLA LIFTBACK,COROLLA LIFTBACK,"81,380","73,240","65,100"
A3,TOYOTA,COROLLA MT XEI,COROLLA MT XEI,"55,660","50,090","44,530"
A3,TOYOTA,COROLLA PREMIUM 1.8 CVT,COROLLA PREMIUM 1.8 CVT,"78,420","70,580","62,740"
A3,TOYOTA,COROLLA PREMIUM 1.8 MT,COROLLA PREMIUM 1.8 MT,"75,150","67,640","60,120"
A3,TOYOTA,COROLLA S XEI 1.8 AUT.,COROLLA S XEI 1.8 AUT.,"67,750","60,980","54,200"
A3,TOYOTA,COROLLA S XEI 1.8 MEC.,COROLLA S XEI 1.8 MEC.,"65,130","58,620","52,100"
A3,TOYOTA,COROLLA S XLI 1.6 MEC.,COROLLA S XLI 1.6 MEC.,"53,810","48,430","43,050"
A3,TOYOTA,COROLLA SE-G 1.8 AUT.,COROLLA SE-G 1.8 AUT.,"72,320","65,090","57,860"
A3,TOYOTA,COROLLA SEG 1.8 MT,COROLLA SEG 1.8 MT,"74,290","66,860","59,430"
A3,TOYOTA,COROLLA SEG CVT,COROLLA SEG CVT,"81,170","73,050","64,940"
A3,TOYOTA,COROLLA SEG MT,COROLLA SEG MT,"72,320","65,090","57,860"
A3,TOYOTA,COROLLA SPORT 1.8 CVT,COROLLA SPORT 1.8 CVT,"81,230","73,110","64,980"
A3,TOYOTA,COROLLA SPORT 1.8 MT,COROLLA SPORT 1.8 MT,"77,970","70,170","62,380"
A3,TOYOTA,COROLLA TERRA,COROLLA TERRA,"64,050","57,650","51,240"
A3,TOYOTA,COROLLA XEI 1.6 CVT,COROLLA XEI 1.6 CVT,"59,410","53,470","47,530"
A3,TOYOTA,COROLLA XEI 1.6 MT,COROLLA XEI 1.6 MT,"59,240","53,320","47,390"
A3,TOYOTA,COROLLA XEI 1.8 AUT.,COROLLA XEI 1.8 AUT.,"60,540","54,490","48,430"
A3,TOYOTA,COROLLA XEI 1.8 CVT,COROLLA XEI 1.8 CVT,"60,540","54,490","48,430"
A3,TOYOTA,COROLLA XEI 1.8 MEC.,COROLLA XEI 1.8 MEC.,"62,760","56,480","50,210"
A3,TOYOTA,COROLLA XEI CVT,COROLLA XEI CVT,"58,230","52,410","46,580"
A3,TOYOTA,COROLLA XL AUT.,COROLLA XL AUT.,"58,230","52,410","46,580"
A3,TOYOTA,COROLLA XL MEC.,COROLLA XL MEC.,"48,320","43,490","38,660"
A3,TOYOTA,COROLLA XL SW,COROLLA XL SW,"67,610","60,850","54,090"
A3,TOYOTA,COROLLA XLI 1.6 ADV,COROLLA XLI 1.6 ADV,"63,390","57,050","50,710"
A3,TOYOTA,COROLLA XLI 1.6 ADV AUT,COROLLA XLI 1.6 ADV AUT,"66,890","60,200","53,510"
A3,TOYOTA,COROLLA XLI 1.6 AUT.,COROLLA XLI 1.6 AUT.,"54,510","49,060","43,610"
A3,TOYOTA,COROLLA XLI 1.6 AUT. FULL,COROLLA XLI 1.6 AUT. FULL,"67,130","60,420","53,700"
A3,TOYOTA,COROLLA XLI 1.6 FULL,COROLLA XLI 1.6 FULL,"50,350","45,320","40,280"
A3,TOYOTA,COROLLA XLI 1.6 MEC.,COROLLA XLI 1.6 MEC.,"53,810","48,430","43,050"
A3,TOYOTA,COROLLA XLI 1.8 CVT,COROLLA XLI 1.8 CVT,"59,820","53,840","47,860"
A3,TOYOTA,COROLLA XLI 1.8 MT,COROLLA XLI 1.8 MT,"54,010","48,610","43,210"
A3,TOYOTA,COROLLA XLI CVT,COROLLA XLI CVT,"57,300","51,570","45,840"
A3,TOYOTA,COROLLA XLI MT,COROLLA XLI MT,"54,980","49,480","43,980"
A3,TOYOTA,COROLLA XLI SPECIAL SW 1.6 C.C AUT.,COROLLA XLI SPECIAL SW 1.6 C.C AUT.,"73,640","66,280","58,910"
A3,TOYOTA,COROLLA XLI SPECIAL SW 1.6 C.C. MEC.,COROLLA XLI SPECIAL SW 1.6 C.C. MEC.,"61,390","55,250","49,110"
A3,TOYOTA,COROLLA XLI SPECIAL SW 1.8 C.C. AUT.,COROLLA XLI SPECIAL SW 1.8 C.C. AUT.,"66,110","59,500","52,890"
A3,TOYOTA,COROLLA XLI SPECIAL SW 1.8 C.C. MEC.,COROLLA XLI SPECIAL SW 1.8 C.C. MEC.,"62,610","56,350","50,090"
A3,TOYOTA,COROLLA XLI SW 1.6 C.C. AUT.,COROLLA XLI SW 1.6 C.C. AUT.,"84,700","76,230","67,760"
A3,TOYOTA,COROLLA XLI SW 1.6 C.C. MEC.,COROLLA XLI SW 1.6 C.C. MEC.,"69,700","62,730","55,760"
A3,TOYOTA,COROLLA XLI SW 1.8 C.C. AUT.,COROLLA XLI SW 1.8 C.C. AUT.,"70,740","63,670","56,590"
A3,TOYOTA,COROLLA XLI SW 1.8 C.C. MEC,COROLLA XLI SW 1.8 C.C. MEC,"66,800","60,120","53,440"
A3,TOYOTA,COROLLA XLI XRS 1.6 AUT.,COROLLA XLI XRS 1.6 AUT.,"64,500","58,050","51,600"
A3,TOYOTA,COROLLA XLI XRS 1.6 AUT. FULL,COROLLA XLI XRS 1.6 AUT. FULL,"71,050","63,950","56,840"
A3,TOYOTA,COROLLA XLI XRS 1.6 MEC.,COROLLA XLI XRS 1.6 MEC.,"60,570","54,510","48,460"
A3,TOYOTA,COROLLA XLI XRS 1.6 MEC. FULL,COROLLA XLI XRS 1.6 MEC. FULL,"67,130","60,420","53,700"
A3,TOYOTA,CORONA AVENSIS AUT.,CORONA AVENSIS AUT.,"105,330","94,800","84,260"
A3,TOYOTA,CORONA AVENSIS MEC.,CORONA AVENSIS MEC.,"100,700","90,630","80,560"
A3,TOYOTA,CORONA AVENSIS SPEC. AUT.,CORONA AVENSIS SPEC. AUT.,"100,810","90,730","80,650"
A3,TOYOTA,CORONA AVENSIS SPEC. MEC.,CORONA AVENSIS SPEC. MEC.,"96,430","86,790","77,140"
A3,TOYOTA,CORONA ESPECIAL AUT.,CORONA ESPECIAL AUT.,"103,370","93,030","82,700"
A3,TOYOTA,CORONA ESPECIAL MEC.,CORONA ESPECIAL MEC.,"98,490","88,640","78,790"
A3,TOYOTA,CORONA GLI AUT.,CORONA GLI AUT.,"96,900","87,210","77,520"
A3,TOYOTA,CORONA GLI MEC.,CORONA GLI MEC.,"92,340","83,110","73,870"
A3,TOYOTA,CROW ROYAL JZS133L-AEPQF,CROW ROYAL JZS133L-AEPQF,"62,120","55,910","49,700"
A3,TOYOTA,,GR YARIS 4X4 1.6T AT,"121,250","109,130","97,000"
A3,TOYOTA,,GR YARIS 4X4 1.6T MT,"98,500","88,650","78,800"
A3,TOYOTA,NUEVO COROLLA 1.8 SEG HV CVT,NUEVO COROLLA 1.8 SEG HV CVT,"78,710","70,840","62,970"
A3,TOYOTA,NUEVO COROLLA XEI 1.6 CVT,NUEVO COROLLA XEI 1.6 CVT,"66,350","59,720","53,080"
A3,TOYOTA,NUEVO COROLLA XEI 1.6 MT,NUEVO COROLLA XEI 1.6 MT,"72,060","64,850","57,650"
A3,TOYOTA,NUEVO COROLLA XEI 2.0 CVT,NUEVO COROLLA XEI 2.0 CVT,"67,310","60,580","53,850"
A3,TOYOTA,NUEVO COROLLA XEI 2.0 MT,NUEVO COROLLA XEI 2.0 MT,"78,610","70,750","62,890"
A3,TOYOTA,NUEVO COROLLA XLI 1.6 CVT,NUEVO COROLLA XLI 1.6 CVT,"70,570","63,510","56,460"
A3,TOYOTA,NUEVO COROLLA XLI 1.6 MT,NUEVO COROLLA XLI 1.6 MT,"51,590","46,430","41,270"
A3,TOYOTA,NUEVO COROLLA XLI 2.0 MT,NUEVO COROLLA XLI 2.0 MT,"74,710","67,240","59,770"
A3,TOYOTA,PRIUS,PRIUS,"92,340","83,110","73,870"
A3,TOYOTA,PRIUS (HIBRIDO) 1.8 AUT.,PRIUS (HIBRIDO) 1.8 AUT.,"117,880","106,090","94,300"
A3,TOYOTA,PRIUS 1.8 AT,PRIUS 1.8 AT,"140,580","126,520","112,460"
A3,TOYOTA,PRIUS CVT 1.8,PRIUS CVT 1.8,"70,040","63,040","56,030"
A3,TOYOTA,PRIUS ECVT 1.8,PRIUS ECVT 1.8,"121,150","109,040","96,920"
A3,TOYOTA,SPRINTER,SPRINTER,"29,770","26,790","23,820"
A3,TOYOTA,OTROS MODELOS,OTROS MODELOS,"71,300","64,170","57,040"
A3,VOLKSWAGEN,377 GOL 1.6,377 GOL 1.6,"49,080","44,170","39,260"
A3,VOLKSWAGEN,AMAZON,AMAZON,"40,890","36,800","32,710"
A3,VOLKSWAGEN,BEETLE 2.0 AUT.,BEETLE 2.0 AUT.,"89,350","80,420","71,480"
A3,VOLKSWAGEN,BEETLE 2.0 MEC.,BEETLE 2.0 MEC.,"84,110","75,700","67,290"
A3,VOLKSWAGEN,BEETLE GLS 2.0 TIP,BEETLE GLS 2.0 TIP,"85,100","76,590","68,080"
A3,VOLKSWAGEN,BEETLE GLS AUT.,BEETLE GLS AUT.,"85,100","76,590","68,080"
A3,VOLKSWAGEN,BEETLE GLS MEC.,BEETLE GLS MEC.,"78,550","70,700","62,840"
A3,VOLKSWAGEN,BEETLE SPORTLINE T 1.8 AUT.,BEETLE SPORTLINE T 1.8 AUT.,"103,130","92,820","82,500"
A3,VOLKSWAGEN,BEETLE SPORTLINE T 1.8 MEC.,BEETLE SPORTLINE T 1.8 MEC.,"97,900","88,110","78,320"
A3,VOLKSWAGEN,BEETLE TURBO 1.8,BEETLE TURBO 1.8,"97,900","88,110","78,320"
A3,VOLKSWAGEN,BEETLE TURBO 1.8 AUT.,BEETLE TURBO 1.8 AUT.,"103,130","92,820","82,500"
A3,VOLKSWAGEN,BORA + SAFETY AUT.,BORA + SAFETY AUT.,"79,870","71,880","63,900"
A3,VOLKSWAGEN,BORA + SAFETY MEC.,BORA + SAFETY MEC.,"74,610","67,150","59,690"
A3,VOLKSWAGEN,BORA AUT.,BORA AUT.,"73,970","66,570","59,180"
A3,VOLKSWAGEN,BORA COMFORTLINE AUT.,BORA COMFORTLINE AUT.,"86,740","78,070","69,390"
A3,VOLKSWAGEN,BORA COMFORTLINE MEC.,BORA COMFORTLINE MEC.,"81,820","73,640","65,460"
A3,VOLKSWAGEN,BORA CONCEPTLINE AUT.,BORA CONCEPTLINE AUT.,"73,970","66,570","59,180"
A3,VOLKSWAGEN,BORA CONCEPTLINE MEC.,BORA CONCEPTLINE MEC.,"68,720","61,850","54,980"
A3,VOLKSWAGEN,BORA EUROPA 2.0,BORA EUROPA 2.0,"55,300","49,770","44,240"
A3,VOLKSWAGEN,BORA EUROPA 2.0 AUT.,BORA EUROPA 2.0 AUT.,"70,040","63,040","56,030"
A3,VOLKSWAGEN,BORA EUROPA TIP,BORA EUROPA TIP,"67,080","60,370","53,660"
A3,VOLKSWAGEN,BORA MEC.,BORA MEC.,"68,720","61,850","54,980"
A3,VOLKSWAGEN,BORA SPORTLINE 1.8T,BORA SPORTLINE 1.8T,"83,800","75,420","67,040"
A3,VOLKSWAGEN,BORA SPORTLINE 1.8T AUT.,BORA SPORTLINE 1.8T AUT.,"90,350","81,320","72,280"
A3,VOLKSWAGEN,BORA SPORTLINE MEC.,BORA SPORTLINE MEC.,"87,880","79,090","70,300"
A3,VOLKSWAGEN,BORA SPORTLINE T TIP,BORA SPORTLINE T TIP,"91,640","82,480","73,310"
A3,VOLKSWAGEN,BORA SPORTLINE TIP,BORA SPORTLINE TIP,"94,440","85,000","75,550"
A3,VOLKSWAGEN,BORA TRENDLINE 2.0,BORA TRENDLINE 2.0,"72,000","64,800","57,600"
